x,y
0.0,20.0
-0.004997498749374688,20.0
-0.009989994997498749,20.0
-0.014977488744372186,20.0
-0.019959979989995,20.0
-0.024937468734367186,20.0
-0.029909954977488742,20.0
-0.03487743871935969,20.0
-0.03983991995997999,20.0
-0.04479739869934967,20.0
-0.049749874937468734,20.0
-0.05469734867433717,20.0
-0.059639819909954976,20.0
-0.06457728864432216,20.0
-0.06950975487743873,20.0
-0.07443721860930465,20.0
-0.07935967983991996,20.0
-0.08427713856928465,20.0
-0.0891895947973987,20.0
-0.09409704852426214,20.0
-0.09899949974987494,20.0
-0.10389694847423711,20.0
-0.10878939469734868,20.0
-0.11367683841920961,20.0
-0.11855927963981991,20.0
-0.12343671835917959,20.0
-0.12830915457728864,20.0
-0.13317658829414708,20.0
-0.1380390195097549,20.0
-0.14289644822411204,20.0
-0.1477488744372186,20.0
-0.15259629814907455,20.0
-0.15743871935967985,20.0
-0.16227613806903451,20.0
-0.16710855427713858,20.0
-0.17193596798399202,20.0
-0.17675837918959478,20.0
-0.18157578789394696,20.0
-0.18638819409704852,20.0
-0.19119559779889947,20.0
-0.19599799899949977,20.0
-0.20079539769884944,20.0
-0.20558779389694848,20.0
-0.2103751875937969,20.0
-0.2151575787893947,20.0
-0.2199349674837419,20.0
-0.22470735367683842,20.0
-0.22947473736868435,20.0
-0.23423711855927964,20.0
-0.23899449724862432,20.0
-0.24374687343671836,20.0
-0.24849424712356177,20.0
-0.25323661830915456,20.0
-0.2579739869934968,20.0
-0.2627063531765883,20.0
-0.26743371685842926,20.0
-0.27215607803901953,20.0
-0.27687343671835923,20.0
-0.2815857928964482,20.0
-0.28629314657328664,20.0
-0.29099549774887445,20.0
-0.2956928464232116,20.0
-0.30038519259629815,20.0
-0.3050725362681341,20.0
-0.3097548774387194,20.0
-0.31443221610805405,20.0
-0.3191045522761381,20.0
-0.3237718859429715,20.0
-0.3284342171085543,20.0
-0.33309154577288647,20.0
-0.337743871935968,20.0
-0.3423911955977989,20.0
-0.3470335167583792,20.0
-0.3516708354177088,20.0
-0.3563031515757879,20.0
-0.3609304652326163,20.0
-0.3655527763881941,20.0
-0.37017008504252125,20.0
-0.3747823911955978,20.0
-0.37938969484742374,20.0
-0.38399199599799905,20.0
-0.38858929464732367,20.0
-0.3931815907953977,20.0
-0.39776888444222114,20.0
-0.4023511755877939,20.0
-0.40692846423211604,20.0
-0.4115007503751876,20.0
-0.4160680340170085,20.0
-0.4206303151575788,20.0
-0.42518759379689847,20.0
